Frame,Time (ns),Hydrogen Bonds,Salt Bridge
1,0.0,2,0
2,0.2,1,0
3,0.4,1,0
4,0.6,0,0
5,0.8,2,0
6,1.0,2,0
7,1.2,1,0
8,1.4,1,0
9,1.6,2,0
10,1.8,1,0
11,2.0,1,0
12,2.2,2,0
13,2.4,1,0
14,2.6,2,0
15,2.8,2,0
16,3.0,2,0
17,3.2,1,0
18,3.4,2,0
19,3.6,1,0
20,3.8,2,0
21,4.0,2,0
22,4.2,2,0
23,4.4,2,0
24,4.6,2,0
25,4.8,1,0
26,5.0,1,0
27,5.2,2,0
28,5.4,1,0
29,5.6,2,1
30,5.8,2,0
31,6.0,2,1
32,6.2,2,1
33,6.4,2,1
34,6.6,2,0
35,6.8,2,1
36,7.0,2,0
37,7.2,1,0
38,7.4,1,0
39,7.6,0,0
40,7.8,1,0
41,8.0,1,0
42,8.2,1,0
43,8.4,1,0
44,8.6,1,0
45,8.8,0,0
46,9.0,1,0
47,9.2,1,0
48,9.4,1,0
49,9.6,1,0
50,9.8,0,0
51,10.0,1,0
