Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Pi Stacking
1,0.0,8,4,0
2,0.2,8,3,0
3,0.4,7,4,0
4,0.6,6,2,0
5,0.8,6,1,0
6,1.0,6,2,0
7,1.2,7,2,0
8,1.4,5,2,0
9,1.6,7,2,0
10,1.8,5,2,0
11,2.0,5,2,0
12,2.2,8,2,0
13,2.4,6,2,0
14,2.6,5,2,0
15,2.8,6,2,0
16,3.0,4,2,0
17,3.2,5,3,1
18,3.4,6,2,0
19,3.6,6,2,0
20,3.8,5,2,0
21,4.0,5,2,0
22,4.2,5,2,1
23,4.4,5,2,0
24,4.6,7,2,0
25,4.8,7,2,0
26,5.0,6,3,0
27,5.2,5,2,0
28,5.4,6,3,0
29,5.6,6,2,0
30,5.8,7,2,0
31,6.0,6,3,0
32,6.2,6,1,0
33,6.4,7,2,0
34,6.6,7,2,0
35,6.8,8,2,0
36,7.0,6,2,0
37,7.2,8,3,0
38,7.4,8,3,0
39,7.6,9,3,0
40,7.8,8,3,0
41,8.0,8,2,0
42,8.2,7,2,0
43,8.4,6,3,0
44,8.6,8,3,0
45,8.8,7,2,0
46,9.0,7,2,0
47,9.2,7,2,0
48,9.4,8,2,0
49,9.6,7,2,0
50,9.8,7,3,0
51,10.0,8,2,0
